web-scraper-order,web-scraper-start-url,Name,Date,Link,Link-href,Thumb-src,Likes,timestamp,author,author-href,Visibility
"1725735065-1","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Kernel Density Estimation with fast-kde","Jan 18, 2023","Kernel Density Estimation with fast-kde","https://observablehq.com/d/131f24a8da92032f","https://static.observableusercontent.com/thumbnail/fc8fdcfa12d9341aad6e7d605214f637b95c26369c775a1da8dec1918631ab42.jpg","","1/18/2023, 9:39:15 AM","You","https://observablehq.com/user/@john-guerra","Only you"
"1725735065-2","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Bird Strikes across United States","Jan 17, 2023","Bird Strikes across United States","https://observablehq.com/d/663de6a2cad86366","https://static.observableusercontent.com/thumbnail/3775b483b97f74c389baf16531ebba5682b8c791585eadad86ea82102e973c9a.jpg","","1/17/2023, 3:17:35 PM","You","https://observablehq.com/user/@john-guerra","Unlisted"
"1725735065-3","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Kernel Estimation","Jan 13, 2023","Kernel Estimation","https://observablehq.com/d/e8fbcf003d93c109","https://static.observableusercontent.com/thumbnail/c67352f88fa3bf72a74381ae8e72da5a244f5a4026b2d417cb65004255cfbe39.jpg","","1/13/2023, 2:04:27 PM","You","https://observablehq.com/user/@john-guerra","Only you"
"1725735065-4","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Youtube InfoVis Playlist","Jan 13, 2023","Youtube InfoVis Playlist","https://observablehq.com/d/f8fda876c5e3bdf3","https://static.observableusercontent.com/thumbnail/03f3599eeaadec032abca756ea2bf738da19ed8c25922998cc4b3199347f558f.jpg","","1/13/2023, 11:47:12 AM","You","https://observablehq.com/user/@john-guerra","Only you"
"1725735065-5","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Young women are the most affected by covid in Colombia right now","Jan 11, 2023","Young women are the most affected by covid in Colombia right now","https://observablehq.com/d/23b4239e4547b873","https://static.observableusercontent.com/thumbnail/271abbfcf9469639fc1b89a36827133ef29cd7ee272e553c59c492a3c84e119c.jpg","1","1/11/2023, 2:42:41 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-6","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Anscombe's Quartet","Sep 27, 2022","Anscombe's Quartet","https://observablehq.com/@john-guerra/anscombes-quartet","https://static.observableusercontent.com/thumbnail/6bbb018f12b6d78c32aeba32c29796f94672b425faf6c948f2fd12d0089e2db2.jpg","","9/27/2022, 6:45:55 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-7","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Challenge Decoder","Dec 21, 2022","Challenge Decoder","https://observablehq.com/@john-guerra/challenge-decoder","https://static.observableusercontent.com/thumbnail/5823300a256b8a2b7f116c63036f99685da90469c07acbb9f413060fd44ecfa7.jpg","","12/21/2022, 9:30:19 AM","You","https://observablehq.com/user/@john-guerra","Unlisted"
"1725735065-8","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Resultados de las Elecciones Presidenciales en Bogotá 2022 por Puestos de Votación","Sep 28, 2022","Resultados de las Elecciones Presidenciales en Bogotá 2022 por Puestos de Votación","https://observablehq.com/@john-guerra/primera-vuelta-bogota-2022","https://static.observableusercontent.com/thumbnail/22af6a84db7b163327d5ab4125ce55f2190e296eb9ea3b028545eef82b9dc5b9.jpg","10","9/28/2022, 6:13:57 AM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-9","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Color Legend","Dec 18, 2022","Color Legend","https://observablehq.com/@john-guerra/color-legend","https://static.observableusercontent.com/thumbnail/ba2d7c1436b753d2555e331e5aa2773fa9437846876a8f5fa01ce9cbcc8021b8.jpg","","12/18/2022, 12:05:47 PM","You","https://observablehq.com/user/@john-guerra","Unlisted"
"1725735065-10","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Correlaciones candidatos primera vuelta Bogotá 2022","Sep 27, 2022","Correlaciones candidatos primera vuelta Bogotá 2022","https://observablehq.com/@john-guerra/correlaciones-candidatos-primera-vuelta-bogota-2022","https://static.observableusercontent.com/thumbnail/aacde11a2f71f2e9aeb183b5079f62f465ecaca059cd40a6323f1f0a02fc67ce.jpg","2","9/27/2022, 9:36:29 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-11","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Mapa Evolución Coronavirus Colombia","Jun 3, 2021","Mapa Evolución Coronavirus Colombia","https://observablehq.com/@john-guerra/mapa-evolucion-coronavirus-colombia","https://static.observableusercontent.com/thumbnail/467aa5dde577064770907550d49ded3dd5afbce7a59f3ca12e827040c5ff5d6c.jpg","1","6/3/2021, 11:59:41 AM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-12","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Coronavirus Colombia","Oct 21, 2020","Coronavirus Colombia","https://observablehq.com/@john-guerra/coronavirus-colombia","https://static.observableusercontent.com/thumbnail/72b4ae8ce2ef6dfa29aa5f0f8fae9e18c815fa62086cb0db6fd0f2c36384e0c5.jpg","2","10/21/2020, 6:31:10 AM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-13","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","California COVID-19 disparities stacked bars","Jun 22, 2020","California COVID-19 disparities stacked bars","https://observablehq.com/@john-guerra/california-covid-19-disparities-stacked-bars","https://static.observableusercontent.com/thumbnail/0edc9e3c0f1dd0762efcd8eedace87918664d0f1316d5826b81de6a0c988d4a2.jpg","","6/22/2020, 12:24:10 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-14","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","COVID-19 by US county","Dec 2, 2022","COVID-19 by US county","https://observablehq.com/@john-guerra/covid-19-by-us-county","https://static.observableusercontent.com/thumbnail/fb0c82f1217769e8cebe36c8799b96b61430929e0d7198363df9231d2f9eee61.jpg","","12/2/2022, 10:13:34 AM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-15","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","OpenCV edge detection","Dec 1, 2022","OpenCV edge detection","https://observablehq.com/@john-guerra/opencv-edge-detection","https://static.observableusercontent.com/thumbnail/5de979cfb218be4d3296b76d9794339c85f64f7dbd51561c13130b40be708404.jpg","","12/1/2022, 4:15:24 PM","You","https://observablehq.com/user/@john-guerra","Unlisted"
"1725735065-16","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","WorldCup 2022 parser","Nov 28, 2022","WorldCup 2022 parser","https://observablehq.com/d/f5a8a49230f34dae","https://static.observableusercontent.com/thumbnail/c36e0dec313b3b56fc9f0148e7bc050ddc1848356e7dcf53c10344c2f1915f5b.jpg","","11/28/2022, 11:01:02 AM","You","https://observablehq.com/user/@john-guerra","Only you"
"1725735065-17","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","World Cup 2022","Nov 28, 2022","World Cup 2022","https://observablehq.com/d/a5d4518499ac68f2","https://static.observableusercontent.com/thumbnail/8e8e1ab2374eff80337b1bdc2066fc2f564b6b7bbe5e745047859a51785af035.jpg","","11/28/2022, 9:56:55 AM","You","https://observablehq.com/user/@john-guerra","Only you"
"1725735065-18","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","¿Cómo pasa Colombia a la segunda ronda?","Jun 26, 2018","¿Cómo pasa Colombia a la segunda ronda?","https://observablehq.com/@john-guerra/como-pasa-colombia-a-la-segunda-ronda","https://static.observableusercontent.com/thumbnail/8e8e1ab2374eff80337b1bdc2066fc2f564b6b7bbe5e745047859a51785af035.jpg","2","6/26/2018, 1:06:22 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-19","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Map to JSON Object","Nov 18, 2022","Map to JSON Object","https://observablehq.com/d/709ac3e49950acf0","https://static.observableusercontent.com/thumbnail/42b92bfced9a369f2c40220de0d65e2ced0f4c6be343b1c6049e91823365cd14.jpg","","11/18/2022, 3:47:28 PM","You","https://observablehq.com/user/@john-guerra","Only you"
"1725735065-20","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Bias Paper Survey","Nov 14, 2022","Bias Paper Survey","https://observablehq.com/d/000e5ba673758a23","https://static.observableusercontent.com/thumbnail/da49f3f3424fe165927aa8c3d3d0fe8eaa8b58d96e9364ba2103d0bf957ff7cd.jpg","","11/14/2022, 10:41:01 AM","You","https://observablehq.com/user/@john-guerra","Unlisted"
"1725735065-21","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Vega crossfilter","Apr 21, 2021","Vega crossfilter","https://observablehq.com/@john-guerra/vega-crossfilter","https://static.observableusercontent.com/thumbnail/bf2d9b28eaf42bbeb5e06ccc7e535da5b92a098f4a259e1b0ac4a6fefd9b8c25.jpg","18","4/21/2021, 12:45:15 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-22","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","BGP Visualizations Survey Paper","Mar 30, 2022","BGP Visualizations Survey Paper","https://observablehq.com/@john-guerra/bgp-visualizations-papers","https://static.observableusercontent.com/thumbnail/c1989d98cf6ed1ccb109d0b1be512fdecba3580c6cb317ecdd6a65b179462cca.jpg","3","3/30/2022, 12:24:26 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-23","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Exponential Growth","Nov 11, 2022","Exponential Growth","https://observablehq.com/d/a95af56c8b26470d","https://static.observableusercontent.com/thumbnail/985d61382c4c74c109a0d7860b49e71d21d153e16fb786c3d39b51f02f8034b6.jpg","","11/11/2022, 8:02:20 AM","You","https://observablehq.com/user/@john-guerra","Only you"
"1725735065-24","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Empresas Colombia Todos los Experimentos","Oct 8, 2022","Empresas Colombia Todos los Experimentos","https://observablehq.com/d/70c45ad4b37730c1","","","10/8/2022, 11:04:39 AM","You","https://observablehq.com/user/@john-guerra","Unlisted"
"1725735065-25","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Ingresos empresas Colombianas 2018-2021","Oct 8, 2022","Ingresos empresas Colombianas 2018-2021","https://observablehq.com/@john-guerra/ingresos-empresas-colombianas","https://static.observableusercontent.com/thumbnail/fb9d2a775055d194af11e5cf8f25d186191f058b586131d61afa0858261d3ca0.jpg","1","10/8/2022, 1:07:04 PM","You","https://observablehq.com/user/@john-guerra","Unlisted"
"1725735065-26","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Resultados Primera Vuelta Colombia 2022 por municipio","Jun 18, 2022","Resultados Primera Vuelta Colombia 2022 por municipio","https://observablehq.com/@john-guerra/primera-vuelta-colombia-2022-curvas","https://static.observableusercontent.com/thumbnail/d1252087255455b0520c91a2a919edb8b985b1460bec5ea3ed58420f8e31b50c.jpg","5","6/18/2022, 6:07:09 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-27","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","My Tweets' Hashtags","Sep 18, 2020","My Tweets' Hashtags","https://observablehq.com/@john-guerra/my-tweets-hashtags","https://static.observableusercontent.com/thumbnail/21ba4eab8235b811cd82e0dc425139743be7f762a746166f371d5c15f8416376.jpg","3","9/18/2020, 2:19:36 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-28","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Multimorbidity patterns for COVID-19 deaths in Colombia","Jun 12, 2020","Multimorbidity patterns for COVID-19 deaths in Colombia","https://observablehq.com/@john-guerra/multimorbidity-patterns-covid-19-colombia","https://static.observableusercontent.com/thumbnail/ed01dcc9275e195187f7f68b4517f6eefc602be16e07316f2e5daef9426cc342.jpg","2","6/12/2020, 5:54:29 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-29","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Spike Map Colombia","Nov 1, 2020","Spike Map Colombia","https://observablehq.com/@john-guerra/spike-map-colombia","https://static.observableusercontent.com/thumbnail/1dd5119eb4cc64d7795ba3a8755411abfd9578c9c2730acd7ebc46737c6f1ae6.jpg","3","11/1/2020, 8:41:56 AM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735065-30","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=10","Tweets Network","Nov 13, 2020","Tweets Network","https://observablehq.com/@john-guerra/tweets-network","https://static.observableusercontent.com/thumbnail/bc1af69cf0343633d63ee5b69bb62f7f48d15f7b5be945537f13dbbbe06d0c88.jpg","9","11/13/2020, 7:37:33 AM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735068-31","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=9","UIST 2020 Co-authorship network","Mar 15, 2023","UIST 2020 Co-authorship network","https://observablehq.com/@john-guerra/uist-2020-co-authorship-network","https://static.observableusercontent.com/thumbnail/31659ce20473d38d70be465cad68cd8d38bd04a124dcb3cc1ad07f12aaa6ca8a.jpg","","3/15/2023, 2:51:24 PM","You","https://observablehq.com/user/@john-guerra","Public"
"1725735068-32","https://observablehq.com/@john-guerra?tab=notebooks&publishLevel=live%2Cpublic&sort=edited&direction=desc&page=9","Get Common Connections","Feb 23, 2023,","Get Common Connections","https://observablehq.com/@john-guerra/get-common-connections","https://static.observableusercontent.com/thumbnail/9213822567be1c218adb5ef6346d040dbe29919fb77a27c294e9e436a13c304b.jpg","1","2/23/2023, 3:51:09 PM","You","https://observablehq.com/user/@john-guerra","Published"
